,user,datetime,session_id,game_no,chances_left,digits_left,input,hint_given,win
0,tensorfl,2021-11-17 06:06:17.649264,4CS19RZFJ5,1,3,6,4,False,False
1,tensorfl,2021-11-17 06:06:21.438200,4CS19RZFJ5,1,3,5,0,False,False
2,tensorfl,2021-11-17 06:06:23.492048,4CS19RZFJ5,1,3,4,8,False,False
3,tensorfl,2021-11-17 06:06:25.042087,4CS19RZFJ5,1,2,4,1,False,False
4,tensorfl,2021-11-17 06:06:27.150981,4CS19RZFJ5,1,1,4,9,False,False
5,tensorfl,2021-11-17 06:06:30.489254,4CS19RZFJ5,1,1,3,7,True,False
6,tensorfl,2021-11-17 06:06:39.358604,4CS19RZFJ5,1,0,3,7,True,False
7,tensorfl,2021-11-17 06:06:41.992350,4CS19RZFJ5,2,3,6,8,False,False
8,tensorfl,2021-11-17 06:06:43.813141,4CS19RZFJ5,2,2,6,6,False,False
9,tensorfl,2021-11-17 06:06:45.047922,4CS19RZFJ5,2,1,6,2,False,False
10,tensorfl,2021-11-17 06:06:49.142673,4CS19RZFJ5,2,1,3,0,True,False
11,tensorfl,2021-11-17 06:06:56.758884,4CS19RZFJ5,2,0,3,0,True,False
12,tensorfl,2021-11-17 06:07:02.629315,4CS19RZFJ5,3,3,6,2,False,False
13,tensorfl,2021-11-17 06:07:04.969664,4CS19RZFJ5,3,2,6,1,False,False
14,tensorfl,2021-11-17 06:07:06.447837,4CS19RZFJ5,3,1,6,7,False,False
15,tensorfl,2021-11-17 06:07:09.091523,4CS19RZFJ5,3,1,5,9,True,False
16,tensorfl,2021-11-17 06:07:10.983124,4CS19RZFJ5,3,0,5,9,True,False
17,tensorfl,2021-11-17 06:07:13.538806,4CS19RZFJ5,4,3,6,9,False,False
18,tensorfl,2021-11-17 06:07:16.139550,4CS19RZFJ5,4,2,6,0,False,False
19,tensorfl,2021-11-17 06:07:17.508510,4CS19RZFJ5,4,2,4,1,False,False
20,tensorfl,2021-11-17 06:07:19.328275,4CS19RZFJ5,4,2,3,5,False,False
21,tensorfl,2021-11-17 06:07:20.807822,4CS19RZFJ5,4,1,3,6,False,False
22,tensorfl,2021-11-17 06:07:22.954795,4CS19RZFJ5,4,1,2,7,True,False
23,tensorfl,2021-11-17 06:07:27.340977,4CS19RZFJ5,4,1,0,7,True,True
